what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1554961373233
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1554961373236
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1554961373239
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1554961373264
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1554961373266
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1554961373277
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1554961373279
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1554961373281
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1554961373283
os,sysinfo,,,"win32",1554961373294
arch,sysinfo,,,"x86",1554961373294
ws,sysinfo,,,"win32",1554961373294
locale,sysinfo,,,"es_ES",1554961373294
processors,sysinfo,,,"4",1554961373295
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1554961373295
java.runtime.version,sysinfo,,,"1.8.0_201-b09",1554961373295
java.specification.name,sysinfo,,,"Java Platform API Specification",1554961373295
java.specification.vendor,sysinfo,,,"Oracle Corporation",1554961373295
java.specification.version,sysinfo,,,"1.8",1554961373295
java.vendor,sysinfo,,,"Oracle Corporation",1554961373295
java.version,sysinfo,,,"1.8.0_201",1554961373295
java.vm.info,sysinfo,,,"mixed mode",1554961373295
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1554961373295
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1554961373295
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1554961373295
java.vm.specification.version,sysinfo,,,"1.8",1554961373295
java.vm.vendor,sysinfo,,,"Oracle Corporation",1554961373295
java.vm.version,sysinfo,,,"25.201-b09",1554961373295
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1554961380159
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554961387826
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554961388594
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554961405442
