what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1555043471170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043474960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043497596
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1555043507500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043507777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043509730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043513916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043517944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043522733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043541042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043552633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043557660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043560894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043591040
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555043593513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043644463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043645884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043647267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043648844
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1555043653658
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555043654221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555043667234
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1555043685693
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1555043685704
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555043698086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555043706980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555043707999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555043709660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555043710528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555043715883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555043717728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555043721494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555043722457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043757659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043759082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043760481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043762136
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1555043766114
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555043775495
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1555043779968
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555043859273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555043866378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555043877605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555043879827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555043883568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555043888753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043967121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043968383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043970011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043971543
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1555043980132
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555043980643
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1555043991051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555043995433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555043996673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044049014
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555044050943
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1555044058424
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1555044058469
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555044087671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044114434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044133845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044244824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044246172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044247606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044249356
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1555044254081
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555044258520
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1555044291445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555044295480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044296556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044388284
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555044389555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044458262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044608030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044656827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044738970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555044787666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555044790777
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1555044801943
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1555044801989
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555044803911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044835369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044837052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044838867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555044840289
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1555044844660
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555044850239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555044933626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555044934574
