what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936153009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936153993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936154673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936162441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936164175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936167691
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1554936170194
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554936174350
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1554936182396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936190499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936199716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1554936204944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936224129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936228513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936229556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936232908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936234035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936236895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936239204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554936243145
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1554936248215
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1554936271019
