what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008239391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008240012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008241813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008257729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008257892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008280125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008282349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008290008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008292529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008297033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008298361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008301050
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555008319866
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555008319993
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555008346355
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1555008362626
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555008388278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555008395447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555008397214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555008442114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555008448773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008465260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008466377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008467362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008479193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555008481766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008486051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008493299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008494369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008495439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008542276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008587866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008626315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008635297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008654146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008658419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555008707447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555008708490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555008719330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555008726320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555008733127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555008734510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008840359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008853496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008964470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555008988279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1555009042150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1555009042692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1555009049544
