what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1554967707348
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1554967707357
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1554967707569
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1554967707593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554967707825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554967709310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554967710029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554967711742
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554967714627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554967733578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554967734868
error,log,,,"Marker id 88 not found.",1554967735115
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1554967737012
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554967740134
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554967747501
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554967767326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554967768663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554967770005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554967770691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554967787969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1554967794126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1554967795960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554967854412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554967860018
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1554967862480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1554967898295
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554967913928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1554967945434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1554967946295
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554967985814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1554968016970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1554968022213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554968028883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554968030575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554968031017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554968032312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554968046283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554968046398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554968065369
