what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555011750912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555011798796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555011801152
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1555011831730
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1555011831764
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555011833120
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1555011874432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555011889874
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1555011893264
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1555011893855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555011902841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555011914962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555011926536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1555011929576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555011929974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555011933862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555011934319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555011934433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555011934784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555011934922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555011962582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555011975197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555011986568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555011992097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012024621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012026619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012026976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012028085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012029045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012029165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012029600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012029709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012031077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012031240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012033221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012034655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555012037053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555012038435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012048151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012049480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012050077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012052170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012052331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012053342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012053753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012053862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012054218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012054330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555012128088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555012134946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012142585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012365896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555012368782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012381259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012383191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012383607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012385387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012385844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012385930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012386277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012386381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012386653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012386763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012386993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012388174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012396530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012408511
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1555012410680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012414670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555012415836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012423294
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555012423717
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555012423832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012428349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012434279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555012435115
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555012453608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1555012459859
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555012462466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555012464323
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1555012501751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012551495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012553135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012553672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012555113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012555575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012555751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012556140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012556276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012556629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012556752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012558209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012558309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012575414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012576783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012577075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012578839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012587747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012682671
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555012684866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555012697795
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555012703982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555012707952
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555012708831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555012711884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012727505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012727589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1555012731824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555012757382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555012758929
error,log,,,"Could not retrieve interfaces",1555012766556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012771141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012789836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012791117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012794230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012795112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012810225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012816180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012819842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012830633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012830870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555012837722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555012839367
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1555012843947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012850011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012852755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012863354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012864251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012864418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012865587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012866426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012871478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012899187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012899403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555012906066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555012909584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012920107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012921447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012922890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012924849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1555012938040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012946370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012947443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012947895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012949096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012949534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012949668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012950111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012950212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012950592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012950713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012951815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012951914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012957285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555012957412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1555012958955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555012993532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555012995529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013006605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013051733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013053526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013053933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013056870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013057312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013057432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013057742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013057846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013058095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013058216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013059311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013059437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013073417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013074799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013075203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013076352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013076649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013076775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013076872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013076961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013077140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013077247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013077410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013078435
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1555013084629
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1555013085007
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1555013085084
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1555013085288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013119615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013127549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013255567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013259042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1555013269790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013286475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013286896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555013289111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013290399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013298318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013303157
error,log,,,"Could not retrieve interfaces",1555013311110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013315710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013315829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1555013378434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013392079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013463392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013495190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013496338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013496740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013497846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013498255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013498369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013498419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013498503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013498770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013498894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013499133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013500390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013502985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013504627
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1555013519922
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1555013529961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013537533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013538827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013539315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555013540403
