what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956731429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956732726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956736207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956737106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956747787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956792076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956796618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956805687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956809146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956816344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956819181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956854360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956854596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956884730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956884941
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1554956921080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956921242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956922848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956923502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956925191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956928679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554956931018
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1554956933140
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1554956935384
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1554956935783
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1554956937676
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1554956948335
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1554956948344
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554956954457
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1554956962491
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554956962653
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1554956966627
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554956966747
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1554956973146
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1554956975708
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1554956975783
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1554956978819
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554956980882
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554956986074
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554956986932
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1554957017604
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1554957020913
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1554957022405
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1554957024868
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554957025010
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1554957029451
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1554957029541
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1554957029555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.closePerspective",1554957029573
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1554957032237
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1554957038786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1554957058262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1554957058603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554957080432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554957080674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1554957084183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554957091047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554957091275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1554957107118
