what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013806684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013807339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013807979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013808617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013809880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013810715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013811925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555013827148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013846454
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1555013876567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555013877001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013879048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013880777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013881858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013883978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013885701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555013895545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013897814
error,log,,,"Could not retrieve interfaces",1555013914216
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555013919178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013920553
error,log,,,"Could not retrieve interfaces",1555013926696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555013936878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013938145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555013993565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555013994274
error,log,,,"Could not retrieve interfaces",1555014033802
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1555014125120
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1555014125129
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555014126396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014140499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014142022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014143203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014144504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014144916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014145032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014145413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014145530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014145847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014145944
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1555014147466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014169647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014177465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014178180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014181534
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555014185835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1555014204467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1555014205384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555014206306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555014209929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555014219552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555014233897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1555014235075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555014236238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1555014253298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014256944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014258440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014259059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014261248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014261831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014261963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014262294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014262379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014262776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014262874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014263254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555014263358
